run_id,num_atoms,resolution,block_size,algorithm,time_ms,speedup
26,100000,100.000000,64,SHARED_MEM,1385.201,36.749
27,100000,100.000000,128,CPU,50812.273,1.0
27,100000,100.000000,128,GRID_2D,1372.924,37.010
27,100000,100.000000,128,SHARED_MEM,1385.896,36.664
27,100000,100.000000,128,OUTPUT_PRIV,64.585,786.754
28,100000,100.000000,256,CPU,51011.613,1.0
28,100000,100.000000,256,GRID_2D,1339.736,38.076
28,100000,100.000000,256,SHARED_MEM,1386.685,36.787
28,100000,100.000000,256,OUTPUT_PRIV,70.855,719.947
29,100000,200.000000,32,CPU,50655.406,1.0
29,100000,200.000000,32,GRID_2D,1895.146,26.729
29,100000,200.000000,32,SHARED_MEM,1803.035,28.095
30,100000,200.000000,64,CPU,50175.238,1.0
30,100000,200.000000,64,GRID_2D,1784.586,28.116
30,100000,200.000000,64,SHARED_MEM,1803.691,27.818
31,100000,200.000000,128,CPU,48291.785,1.0
31,100000,200.000000,128,GRID_2D,1816.948,26.579
31,100000,200.000000,128,SHARED_MEM,1803.607,26.775
31,100000,200.000000,128,OUTPUT_PRIV,67.645,713.896
32,100000,200.000000,256,CPU,50535.906,1.0
32,100000,200.000000,256,GRID_2D,1796.474,28.131
32,100000,200.000000,256,SHARED_MEM,1804.570,28.004
32,100000,200.000000,256,OUTPUT_PRIV,76.700,658.881
33,100000,500.000000,32,CPU,46756.324,1.0
33,100000,500.000000,32,GRID_2D,1566.438,29.849
33,100000,500.000000,32,SHARED_MEM,1465.180,31.912
34,100000,500.000000,64,CPU,48861.723,1.0
34,100000,500.000000,64,GRID_2D,1426.390,34.256
34,100000,500.000000,64,SHARED_MEM,1465.352,33.345
35,100000,500.000000,128,CPU,50502.496,1.0
35,100000,500.000000,128,GRID_2D,1446.048,34.925
35,100000,500.000000,128,SHARED_MEM,1464.935,34.474
35,100000,500.000000,128,OUTPUT_PRIV,77.147,654.626
36,100000,500.000000,256,CPU,50433.777,1.0
36,100000,500.000000,256,GRID_2D,1436.524,35.108
36,100000,500.000000,256,SHARED_MEM,1465.777,34.408
36,100000,500.000000,256,OUTPUT_PRIV,95.074,530.467
